Team,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Start Date,End Date
CSK,Noor Ahmad,2025-2025,1,1.0,4.0,0.0,18.0,4.0,4/18,4.5,4.5,6.0,1.0,0.0,2025-01-01,2025-12-31
CSK,KK Ahmed,2025-2025,1,1.0,4.0,0.0,29.0,3.0,3/29,9.66,7.25,8.0,0.0,0.0,2025-01-01,2025-12-31
CSK,RS Hangargekar,2023-2023,2,2.0,6.0,0.0,60.0,3.0,3/36,20.0,10.0,12.0,0.0,0.0,2023-01-01,2023-12-31
CSK,Imran Tahir,2021-2021,1,1.0,4.0,0.0,16.0,2.0,2/16,8.0,4.0,12.0,0.0,0.0,2021-01-01,2021-12-31
CSK,CJ Jordan,2022-2022,4,4.0,12.5,0.0,135.0,2.0,2/23,67.5,10.51,38.5,0.0,0.0,2022-01-01,2022-12-31
CSK,PH Solanki,2022-2022,2,2.0,6.0,0.0,38.0,2.0,2/20,19.0,6.33,18.0,0.0,0.0,2022-01-01,2022-12-31
CSK,R Ashwin,2025-2025,1,1.0,4.0,0.0,31.0,1.0,1/31,31.0,7.75,24.0,0.0,0.0,2025-01-01,2025-12-31
CSK,KM Asif,2021-2021,1,1.0,2.1,0.0,18.0,1.0,1/18,18.0,8.3,13.0,0.0,0.0,2021-01-01,2021-12-31
CSK,S Dube,2022-2025,42,3.0,3.0,0.0,50.0,1.0,1/14,50.0,16.66,18.0,0.0,0.0,2022-01-01,2025-12-31
CSK,NT Ellis,2025-2025,1,1.0,4.0,0.0,38.0,1.0,1/38,38.0,9.5,24.0,0.0,0.0,2025-01-01,2025-12-31
CSK,RJ Gleeson,2024-2024,2,2.0,7.5,0.0,71.0,1.0,1/30,71.0,9.06,47.0,0.0,0.0,2024-01-01,2024-12-31
CSK,SSB Magala,2023-2023,2,2.0,6.0,0.0,51.0,1.0,1/37,51.0,8.5,36.0,0.0,0.0,2023-01-01,2023-12-31
CSK,DJ Mitchell,2024-2024,13,2.0,6.0,0.0,70.0,1.0,1/18,70.0,11.66,36.0,0.0,0.0,2024-01-01,2024-12-31
CSK,AF Milne,2022-2022,1,1.0,2.3,0.0,19.0,0.0,,,7.6,,0.0,0.0,2022-01-01,2022-12-31
CSK,R Ravindra,2024-2025,11,2.0,2.0,0.0,7.0,0.0,,,3.5,,0.0,0.0,2024-01-01,2025-12-31
CSK,BA Stokes,2023-2023,2,1.0,1.0,0.0,18.0,0.0,,,18.0,,0.0,0.0,2023-01-01,2023-12-31
CSK,DP Conway,2022-2023,23,,,,,,,,,,,,2022-01-01,2023-12-31
CSK,MS Dhoni,2021-2025,61,,,,,,,,,,,,2021-01-01,2025-12-31
CSK,F du Plessis,2021-2021,16,,,,,,,,,,,,2021-01-01,2021-12-31
CSK,RD Gaikwad,2021-2025,61,,,,,,,,,,,,2021-01-01,2025-12-31
CSK,DJ Hooda,2025-2025,1,,,,,,,,,,,,2025-01-01,2025-12-31
CSK,N Jagadeesan,2022-2022,2,,,,,,,,,,,,2022-01-01,2022-12-31
CSK,AM Rahane,2023-2024,27,,,,,,,,,,,,2023-01-01,2024-12-31
CSK,SK Raina,2021-2021,12,,,,,,,,,,,,2021-01-01,2021-12-31
CSK,AT Rayudu,2021-2023,45,,,,,,,,,,,,2021-01-01,2023-12-31
CSK,Sameer Rizvi,2024-2024,8,,,,,,,,,,,,2024-01-01,2024-12-31
CSK,RA Tripathi,2025-2025,1,,,,,,,,,,,,2025-01-01,2025-12-31
CSK,RV Uthappa,2021-2022,16,,,,,,,,,,,,2021-01-01,2022-12-31
MI,JJ Bumrah,2021-2024,41,41.0,160.1,2.0,1129.0,56.0,5/10,20.16,7.04,17.1,0.0,2.0,2021-01-01,2024-12-31
