player,team,Inferred_Role,match_id,Batting_Form,Bowling_Form,Fielding_Form,Player_Form
Gurnoor Brar,Punjab Kings,Unknown,2023-04-28,0.0,0.0,0,0.0
H Klaasen,Sunrisers Hyderabad,BAT,2024-05-26,43.45529411764706,0.0,0,43.45529411764706
H Sharma,Royal Challengers Bengaluru,Unknown,2024-04-06,0.0,0.0,0,0.0
HC Brook,Sunrisers Hyderabad,WK,2023-05-21,6.24,0.0,10,10.24
HH Pandya,Mumbai Indians,Unknown,2024-05-17,0.0,0.0,0,0.0
HR Shokeen,Mumbai Indians,Unknown,2023-05-24,0.0,0.0,10,0.0
HV Patel,Punjab Kings,BOWL,2024-05-19,0.0,93.2,0,93.2
Harpreet Brar,Punjab Kings,BOWL,2024-05-19,0.0,20.33333333333334,0,20.33333333333334
Harpreet Singh,Punjab Kings,BAT,2024-04-21,35.455263157894734,0.0,0,35.455263157894734
Harshit Rana,Kolkata Knight Riders,BOWL,2024-05-26,0.0,126.0,0,126.0
I Sharma,Delhi Capitals,BOWL,2024-05-14,0.0,67.5,0,67.5
Ishan Kishan,Mumbai Indians,BAT,2024-05-17,41.779999999999994,0.0,0,41.779999999999994
J Fraser-McGurk,Delhi Capitals,Unknown,2024-05-14,0.0,0.0,15,0.0
J Little,Gujarat Titans,BOWL,2024-05-04,0.0,51.75,0,51.75
J Yadav,Gujarat Titans,Unknown,2023-04-22,0.0,0.0,10,0.0
JA Richardson,Delhi Capitals,Unknown,2024-04-07,0.0,0.0,0,0.0
JC Archer,Mumbai Indians,Unknown,2023-05-06,0.0,0.0,0,0.0
JC Buttler,Rajasthan Royals,BAT,2024-05-12,48.8,0.0,0,48.8
JD Unadkat,Sunrisers Hyderabad,Unknown,2024-05-26,0.0,0.0,0,0.0
JE Root,Rajasthan Royals,BAT,2023-05-14,20.099999999999998,0.0,0,20.099999999999998
JJ Bumrah,Mumbai Indians,BOWL,2024-05-11,0.0,68.0,0,68.0
JJ Roy,Kolkata Knight Riders,BAT,2023-05-20,65.33428571428571,0.0,0,65.33428571428571
JM Bairstow,Punjab Kings,BAT,2024-05-15,43.550909090909094,0.0,15,46.550909090909094
JM Sharma,Punjab Kings,BAT,2024-05-19,67.64,0.0,0,67.64
JO Holder,Rajasthan Royals,Unknown,2023-04-30,0.0,0.0,0,0.0
JP Behrendorff,Mumbai Indians,Unknown,2023-05-26,0.0,0.0,0,0.0
JR Hazlewood,Royal Challengers Bangalore,Unknown,2023-05-09,0.0,0.0,0,0.0
K Gowtham,Lucknow Super Giants,Unknown,2024-05-08,0.0,0.0,0,0.0
K Kartikeya,Mumbai Indians,Unknown,2023-05-26,0.0,0.0,0,0.0
K Khejroliya,Kolkata Knight Riders,BOWL,2023-04-23,0.0,-9.473684210526319,0,-9.473684210526319
K Rabada,Punjab Kings,Unknown,2024-05-05,0.0,0.0,10,0.0
K Yadav,Rajasthan Royals,BOWL,2023-05-07,0.0,47.5,0,47.5
KA Maharaj,Rajasthan Royals,ALL,2024-04-13,15.0,37.25,10,28.125
KD Karthik,Royal Challengers Bengaluru,BAT,2024-05-22,31.844615384615384,0.0,30,37.84461538461538
KH Pandya,Lucknow Super Giants,ALL,2024-05-17,59.18857142857143,33.75,20,50.46928571428572
KK Ahmed,Delhi Capitals,BOWL,2024-05-14,0.0,64.5,0,64.5
KL Rahul,Lucknow Super Giants,BAT,2024-05-17,60.403902439024385,0.0,0,60.403902439024385
KM Asif,Rajasthan Royals,Unknown,2023-05-14,0.0,0.0,0,0.0
