Team,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Start Date,End Date
LSG,E Lewis,2022-2022,6,6.0,3.0,3.0,0.0,0.0,3.0,,0.5,2022-01-01,2022-12-31
LSG,D Padikkal,2024-2024,7,7.0,3.0,3.0,0.0,0.0,3.0,,0.428,2024-01-01,2024-12-31
LSG,MK Pandey,2022-2022,6,6.0,3.0,3.0,0.0,0.0,3.0,,0.5,2022-01-01,2022-12-31
LSG,PVD Chameera,2022-2022,12,12.0,2.0,2.0,0.0,0.0,2.0,,0.166,2022-01-01,2022-12-31
LSG,PN Mankad,2023-2023,5,5.0,2.0,2.0,0.0,0.0,2.0,,0.4,2023-01-01,2023-12-31
LSG,KR Mayers,2023-2023,13,12.0,2.0,2.0,0.0,0.0,2.0,,0.166,2023-01-01,2023-12-31
LSG,A Mishra,2023-2024,8,8.0,2.0,2.0,0.0,0.0,2.0,,0.25,2023-01-01,2024-12-31
LSG,Mohsin Khan,2022-2024,24,23.0,2.0,2.0,0.0,0.0,2.0,,0.086,2022-01-01,2024-12-31
LSG,RR Pant,2025-2025,1,1.0,2.0,2.0,0.0,2.0,0.0,,2.0,2025-01-01,2025-12-31
LSG,Yash Thakur,2023-2024,19,19.0,2.0,2.0,0.0,0.0,2.0,,0.105,2023-01-01,2024-12-31
LSG,MA Wood,2023-2023,4,4.0,2.0,2.0,0.0,0.0,2.0,,0.5,2023-01-01,2023-12-31
LSG,Arshad Khan,2024-2024,4,4.0,1.0,1.0,0.0,0.0,1.0,,0.25,2024-01-01,2024-12-31
LSG,DA Miller,2025-2025,1,1.0,1.0,1.0,0.0,0.0,1.0,,1.0,2025-01-01,2025-12-31
LSG,M Siddharth,2024-2025,4,4.0,1.0,1.0,0.0,0.0,1.0,,0.25,2024-01-01,2025-12-31
LSG,AJ Tye,2022-2022,3,3.0,1.0,1.0,0.0,0.0,1.0,,0.333,2022-01-01,2022-12-31
LSG,MP Yadav,2024-2024,4,4.0,1.0,1.0,0.0,0.0,1.0,,0.25,2024-01-01,2024-12-31
