Team,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
RR,HE van der Dussen,2022-2022,3,3,1,22,12,11.0,24,91.66,0,0,0,2,0
RR,KK Nair,2022-2022,3,2,0,16,13,8.0,18,88.88,0,0,0,1,0
RR,C Sakariya,2021-2021,14,6,1,16,7,3.2,25,64.0,0,0,1,2,0
RR,JO Holder,2023-2023,8,3,1,12,11,6.0,11,109.09,0,0,1,0,1
RR,Avesh Khan,2024-2024,16,3,3,10,7,,5,200.0,0,0,0,1,0
RR,JE Root,2023-2023,3,1,0,10,10,10.0,15,66.66,0,0,0,1,0
RR,A Zampa,2023-2023,6,3,0,10,7,3.33,16,62.5,0,0,0,0,0
RR,D Ferreira,2024-2024,2,2,0,8,7,4.0,11,72.72,0,0,0,0,0
RR,OC McCoy,2022-2023,8,1,0,8,8,8.0,5,160.0,0,0,0,0,1
RR,Mustafizur Rahman,2021-2021,14,5,5,8,8,,14,57.14,0,0,0,0,1
RR,S Gopal,2021-2021,3,2,1,7,7,7.0,5,140.0,0,0,1,0,1
RR,M Prasidh Krishna,2022-2022,17,3,2,6,4,6.0,12,50.0,0,0,0,0,0
RR,YS Chahal,2022-2024,46,2,1,5,5,5.0,8,62.5,0,0,0,0,0
RR,Kartik Tyagi,2021-2021,4,2,1,2,1,2.0,4,50.0,0,0,0,0,0
RR,NA Saini,2022-2023,4,1,0,2,2,2.0,2,100.0,0,0,0,0,0
RR,Sandeep Sharma,2023-2024,23,2,2,2,2,,6,33.33,0,0,0,0,0
RR,T Shamsi,2021-2021,1,1,1,2,2,,4,50.0,0,0,0,0,0
RR,Abdul Basith,2023-2023,1,1,1,1,1,,1,100.0,0,0,0,0,0
RR,NM Coulter-Nile,2022-2022,1,1,1,1,1,,2,50.0,0,0,0,0,0
RR,KA Maharaj,2024-2024,2,1,0,1,1,1.0,2,50.0,0,0,0,0,0
RR,Anuj Rawat,2021-2021,2,1,0,0,0,0.0,1,0.0,0,0,1,0,0
RR,KM Asif,2023-2023,4,1,0,0,0,0.0,2,0.0,0,0,1,0,0
RR,KR Sen,2022-2024,12,1,1,0,0,,3,0.0,0,0,0,0,0
RR,BA Stokes,2021-2021,1,1,0,0,0,0.0,3,0.0,0,0,1,0,0
RR,K Yadav,2021-2023,3,1,1,0,0,,4,0.0,0,0,0,0,0
RR,Akash Singh,2021-2021,1,,,,,,,,,,,,
RR,M Ashwin,2023-2023,2,,,,,,,,,,,,
RR,N Burger,2024-2024,6,,,,,,,,,,,,
RR,M Markande,2021-2021,1,,,,,,,,,,,,
PBKS,S Dhawan,2022-2024,30,30,4,985,99,37.88,757,130.11,0,7,1,114,28
PBKS,LS Livingstone,2022-2024,30,30,5,827,94,33.08,489,169.12,0,6,1,57,60
PBKS,JM Sharma,2022-2024,40,36,4,730,49,22.81,483,151.13,0,0,2,53,45
PBKS,Prabhsimran Singh,2021-2024,31,31,0,725,103,23.38,485,149.48,1,3,3,75,40
PBKS,MA Agarwal,2021-2022,25,24,1,637,99,27.69,474,134.38,0,5,2,65,24
PBKS,KL Rahul,2021-2021,13,13,3,626,98,62.6,451,138.8,0,6,0,48,30
PBKS,JM Bairstow,2022-2024,22,22,1,551,108,26.23,370,148.91,1,2,1,67,23
PBKS,SM Curran,2023-2024,27,25,5,546,63,27.3,422,129.38,0,3,1,44,19
