Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Team,Start Date,End Date
DA Miller,2022-2024,41,41,22,22,0,0,22,2 (2ct 0st),0.536,GT,2013-01-01,2025-03-01
R Tewatia,2022-2024,45,45,19,19,0,0,19,2 (2ct 0st),0.422,GT,2013-01-01,2025-03-01
Shubman Gill,2022-2024,45,45,14,14,0,0,14,2 (2ct 0st),0.311,GT,2013-01-01,2025-03-01
HH Pandya,2022-2023,31,31,12,12,0,0,12,1 (1ct 0st),0.387,GT,2013-01-01,2025-03-01
MM Sharma,2023-2024,26,26,10,10,0,0,10,2 (2ct 0st),0.384,GT,2013-01-01,2025-03-01
A Manohar,2022-2024,19,19,9,9,0,0,9,2 (2ct 0st),0.473,GT,2013-01-01,2025-03-01
MS Wade,2022-2024,12,12,9,8,1,7,1,3 (3ct 0st),0.75,GT,2013-01-01,2025-03-01
Mohammed Shami,2022-2023,33,33,8,8,0,0,8,2 (2ct 0st),0.242,GT,2013-01-01,2025-03-01
V Shankar,2022-2024,25,25,8,8,0,0,8,1 (1ct 0st),0.32,GT,2013-01-01,2025-03-01
Noor Ahmad,2023-2024,23,23,7,7,0,0,7,2 (2ct 0st),0.304,GT,2013-01-01,2025-03-01
M Shahrukh Khan,2024-2024,7,7,6,6,0,0,6,3 (3ct 0st),0.857,GT,2013-01-01,2025-03-01
JB Little,2023-2024,11,11,5,5,0,0,5,2 (2ct 0st),0.454,GT,2013-01-01,2025-03-01
R Sai Kishore,2022-2024,10,10,5,5,0,0,5,2 (2ct 0st),0.5,GT,2013-01-01,2025-03-01
AS Joseph,2022-2023,16,16,3,3,0,0,3,1 (1ct 0st),0.187,GT,2013-01-01,2025-03-01
B Sai Sudharsan,2022-2024,25,25,3,3,0,0,3,1 (1ct 0st),0.12,GT,2013-01-01,2025-03-01
LH Ferguson,2022-2022,13,13,2,2,0,0,2,2 (2ct 0st),0.153,GT,2013-01-01,2025-03-01
SH Johnson,2024-2024,5,5,2,2,0,0,2,1 (1ct 0st),0.4,GT,2013-01-01,2025-03-01
DG Nalkande,2022-2024,6,6,2,2,0,0,2,1 (1ct 0st),0.333,GT,2013-01-01,2025-03-01
MD Shanaka,2023-2023,3,3,2,2,0,0,2,1 (1ct 0st),0.666,GT,2013-01-01,2025-03-01
Yash Dayal,2022-2023,14,14,2,2,0,0,2,1 (1ct 0st),0.142,GT,2013-01-01,2025-03-01
PJ Sangwan,2022-2022,3,3,1,1,0,0,1,1 (1ct 0st),0.333,GT,2013-01-01,2025-03-01
