Team,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Span,Start Date,End Date
MI,TA Boult,7,7.0,24.0,0.0,219.0,6.0,2/57,36.5,9.12,24.0,0.0,0.0,2025-2025,,
MI,V Puthur,4,4.0,11.0,0.0,94.0,6.0,3/32,15.66,8.54,11.0,0.0,0.0,2025-2025,,
MI,Ashwani Kumar,2,2.0,6.0,0.0,63.0,5.0,4/24,12.6,10.5,7.2,1.0,0.0,2025-2025,,
MI,DL Chahar,7,7.0,19.0,0.0,199.0,5.0,2/19,39.8,10.47,22.8,0.0,0.0,2025-2025,,
MI,WG Jacks,6,3.0,8.0,0.0,56.0,3.0,2/14,18.66,7.0,16.0,0.0,0.0,2025-2025,,
MI,MJ Santner,7,7.0,21.3,0.0,203.0,3.0,2/43,67.66,9.44,43.0,0.0,0.0,2025-2025,,
MI,KV Sharma,2,1.0,4.0,0.0,36.0,3.0,3/36,12.0,9.0,8.0,0.0,0.0,2025-2025,,
MI,JJ Bumrah,3,3.0,12.0,0.0,94.0,2.0,1/21,47.0,7.83,36.0,0.0,0.0,2025-2025,,
MI,Mujeeb Ur Rahman,1,1.0,2.0,0.0,28.0,1.0,1/28,28.0,14.0,12.0,0.0,0.0,2025-2025,,
MI,PVSN Raju,2,2.0,4.0,0.0,53.0,1.0,1/40,53.0,13.25,24.0,0.0,0.0,2025-2025,,
MI,Naman Dhir,7,1.0,3.0,0.0,12.0,0.0,,,4.0,,0.0,0.0,2025-2025,,
MI,RA Bawa,1,,,,,,,,,,,,2025-2025,,
MI,R Minz,2,,,,,,,,,,,,2025-2025,,
MI,RD Rickelton,7,,,,,,,,,,,,2025-2025,,
MI,RG Sharma,6,,,,,,,,,,,,2025-2025,,
MI,NT Tilak Varma,7,,,,,,,,,,,,2025-2025,,
MI,SA Yadav,7,,,,,,,,,,,,2025-2025,,
RCB,JR Hazlewood,7,7.0,24.5,0.0,203.0,12.0,3/14,16.91,8.17,12.4,0.0,0.0,2025-2025,,
RCB,B Kumar,6,6.0,22.0,0.0,175.0,8.0,2/26,21.87,7.95,16.5,0.0,0.0,2025-2025,,
