Player,Batting Form,Bowling Form,Credits,Player Type,Team
Manish Pandey,44.57416981315467,30.0,7.0,BAT,KKR
Ajinkya Rahane,80.50767004553367,30.0,7.5,BAT,KKR
Umran Malik,29.002901785714286,42.61458333333333,6.0,BOWL,KKR
Digvesh Singh,22.380620155038756,85.95781249999999,5.0,BOWL,LSG
Prince Yadav,39.65,37.54866071428572,5.5,BOWL,LSG
Shamar Joseph,29.002901785714286,42.61458333333333,6.5,BOWL,LSG
Mayank Yadav,29.002901785714286,42.61458333333333,7.5,BOWL,LSG
Arshin Kulkarni,37.54508272058824,37.865624999999994,6.0,ALL,LSG
Akash Deep,9.131903961954198,42.78169642857143,7.0,BOWL,LSG
Akash Singh,29.002901785714286,42.61458333333333,6.0,BOWL,LSG
Yuvraj Chaudhary,37.54508272058824,37.865624999999994,5.0,ALL,LSG
Ravi Bishnoi,9.131903961954198,64.25290178571429,8.0,BOWL,LSG
Abdul Samad,75.97772891902794,18.298214285714284,6.5,BAT,LSG
Shahbaz Ahmed,33.14121095253165,18.56875,7.0,ALL,LSG
Rajvardhan Hangargekar,29.002901785714286,42.61458333333333,5.5,BOWL,LSG
Ayush Badoni,66.7258795736036,30.0,7.0,BAT,LSG
Aryan Juyal,44.13088235294118,29.98676470588235,5.5,WK,LSG
Mohsin Khan,29.002901785714286,42.61458333333333,7.0,BOWL,LSG
Matthew Breetzke,41.762160326086956,30.50828804347826,6.5,BAT,LSG
Manimaran Siddharth,39.65,49.84352678571428,6.0,BOWL,LSG
Rishabh Pant,50.396879988435785,30.0,9.0,WK,LSG
Himmat Singh,39.65,30.0,5.5,BAT,LSG
Aiden Markram,82.14645296506319,57.31875,8.0,ALL,LSG
Avesh Khan,46.501775277726914,65.19375,8.0,BOWL,LSG
Nicholas Pooran,97.85711862226617,30.0,8.5,WK,LSG
